evaluator_code,story_id,topic,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_profit,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future,post_ai_usage,post_ai_assist,post_authors_ideas,post_ownership,post_profit,condition,ai_used_actual
ed1to2ie,2be119b4-dee7-426f-b135-2da6580456f1,an adventure on a different planet,4.0,4.0,4.0,7.0,7.0,7.0,50,5.0,5.0,7.0,1.0,1.0,1.0,0.0,88,9.0,9.0,0,human,0.0
q273nx5o,5722bccc-2f26-47ed-b1f6-6dcebec69963,an adventure on the open seas,5.0,7.0,5.0,9.0,9.0,9.0,50,9.0,9.0,3.0,1.0,1.0,1.0,1.0,50,9.0,9.0,50,human_5AI,1.0
0zx4uzgc,124978c6-f8c9-4d94-829a-fe59c714310b,an adventure on a different planet,2.0,4.0,3.0,7.0,7.0,3.0,50,4.0,6.0,7.0,1.0,6.0,1.0,1.0,80,3.0,6.0,65,human_5AI,1.0
lni5v0k5,cded67c3-e143-4642-be01-b3258b1fa133,an adventure on a different planet,6.0,6.0,7.0,8.0,7.0,9.0,50,7.0,3.0,1.0,3.0,1.0,2.0,1.0,75,7.0,6.0,63,human_1AI,1.0
h6yd9u8a,dabe869d-79d8-4c82-9350-5e4ebd0806c7,an adventure in the jungle,7.0,5.0,3.0,9.0,9.0,7.0,50,7.0,7.0,3.0,3.0,3.0,1.0,0.0,0,9.0,9.0,0,human,0.0
6gleibvz,f7376258-d293-44f9-aa07-938361a4e1ee,an adventure on the open seas,6.0,7.0,4.0,7.0,7.0,7.0,50,7.0,7.0,3.0,3.0,3.0,3.0,0.0,16,7.0,6.0,0,human_1AI,0.0
gs7anie3,173c7706-0e61-4620-9a0e-3df8bbfa845c,an adventure on the open seas,2.0,2.0,2.0,7.0,7.0,5.0,50,5.0,5.0,5.0,3.0,1.0,6.0,0.0,79,2.0,4.0,0,human,0.0
20i1coc0,e588666a-a560-466e-8494-aa64a1d06807,an adventure in the jungle,2.0,1.0,1.0,6.0,3.0,2.0,50,6.0,2.0,6.0,8.0,5.0,6.0,1.0,16,7.0,6.0,75,human_1AI,1.0
a4pyn1if,1ae992b9-d676-4051-b939-19635ea24c24,an adventure on the open seas,1.0,1.0,1.0,5.0,1.0,3.0,50,2.0,3.0,8.0,1.0,2.0,1.0,0.0,25,9.0,9.0,0,human_1AI,0.0
oj6yzrsw,f4837cf6-2112-4a94-a0d4-eb99ebf4e102,an adventure in the jungle,6.0,7.0,2.0,7.0,7.0,7.0,50,7.0,7.0,2.0,1.0,7.0,6.0,2.0,70,6.0,6.0,48,human_1AI,0.0
zwif85p2,f19e74b7-e71a-4427-8cc2-37aa7f5d6071,an adventure in the jungle,5.0,8.0,1.0,3.0,6.0,2.0,50,2.0,6.0,8.0,2.0,2.0,2.0,0.0,77,8.0,9.0,0,human_1AI,0.0
lloq116c,fb4a7a93-0dcb-462d-9b64-92428dc44a45,an adventure in the jungle,3.0,3.0,3.0,6.0,6.0,6.0,50,5.0,6.0,3.0,3.0,5.0,4.0,0.0,37,6.0,7.0,0,human,0.0
yrhfep3w,01d340cd-bcca-4ef8-bd36-91c2a951b21f,an adventure on a different planet,2.0,5.0,2.0,1.0,1.0,1.0,50,1.0,1.0,9.0,4.0,7.0,1.0,1.0,76,6.0,6.0,51,human_5AI,1.0
5f31b64c,02bb7805-ba49-420a-be49-5f52f1d4b79e,an adventure on a different planet,2.0,5.0,5.0,2.0,2.0,2.0,50,3.0,7.0,5.0,1.0,3.0,1.0,1.0,75,5.0,5.0,50,human_1AI,1.0
9acp9gpi,a2d70f55-973a-4fcf-9649-233064d41830,an adventure on the open seas,2.0,2.0,2.0,5.0,6.0,6.0,50,3.0,5.0,8.0,1.0,2.0,2.0,1.0,74,5.0,2.0,60,human_5AI,1.0
raher31c,a6d79eec-baff-45fd-962e-ffce6f909692,an adventure in the jungle,1.0,1.0,1.0,9.0,1.0,1.0,50,8.0,7.0,1.0,1.0,2.0,1.0,0.0,97,9.0,9.0,0,human_1AI,0.0
2mfm7i7u,b154fc7f-cba2-4b7b-84d3-3e910eb07be9,an adventure in the jungle,3.0,3.0,2.0,3.0,3.0,2.0,50,3.0,2.0,6.0,1.0,6.0,6.0,1.0,80,6.0,8.0,100,human_1AI,1.0
ynt1ft7z,7c78f2c1-13b9-4b57-ae49-0bbef1df7a08,an adventure on the open seas,1.0,1.0,1.0,6.0,4.0,3.0,50,3.0,5.0,6.0,1.0,1.0,1.0,0.0,66,6.0,9.0,0,human,0.0
xx9b41li,f48acf07-0c7a-464e-b42d-7c477cb24782,an adventure on the open seas,4.0,4.0,3.0,6.0,4.0,1.0,50,5.0,4.0,3.0,1.0,9.0,2.0,1.0,25,4.0,5.0,25,human_1AI,0.0
eihpqgxo,b2d37afa-9911-41d6-997f-6d7369f1d6f2,an adventure in the jungle,6.0,6.0,5.0,7.0,6.0,6.0,50,5.0,6.0,4.0,4.0,5.0,4.0,1.0,62,4.0,6.0,51,human_1AI,1.0
xjmrfimw,22988fde-8e34-4df8-ab1e-d1da1057c457,an adventure on the open seas,1.0,1.0,1.0,5.0,4.0,2.0,50,2.0,3.0,7.0,3.0,1.0,1.0,1.0,50,2.0,2.0,50,human_1AI,1.0
2ivtgkyn,a610f7e4-a9a3-428d-8f5c-100f37d872e2,an adventure in the jungle,4.0,4.0,1.0,7.0,7.0,4.0,50,5.0,5.0,4.0,1.0,1.0,1.0,1.0,0,3.0,2.0,80,human_5AI,1.0
lrlajkoq,5e433a7f-d48b-449b-8f30-35e205ee75dc,an adventure on the open seas,5.0,6.0,6.0,8.0,4.0,3.0,50,3.0,4.0,5.0,2.0,3.0,5.0,1.0,99,1.0,1.0,3,human_5AI,1.0
xmugz3ep,5df32bc6-8006-44c6-a9bc-802e01cc59ff,an adventure on the open seas,1.0,1.0,2.0,9.0,9.0,9.0,50,3.0,6.0,5.0,1.0,3.0,1.0,1.0,14,3.0,5.0,25,human_5AI,1.0
z1suyduo,321f7c82-05ab-49ed-8e15-152f538aec1d,an adventure on a different planet,6.0,6.0,6.0,4.0,6.0,7.0,50,5.0,3.0,5.0,1.0,2.0,7.0,1.0,89,6.0,6.0,66,human_1AI,1.0
b8vvpbp3,863d7eaf-eb05-4d14-8804-6123d8c04d86,an adventure on a different planet,5.0,3.0,3.0,9.0,9.0,7.0,50,8.0,7.0,1.0,1.0,1.0,1.0,0.0,85,6.0,8.0,0,human,0.0
8ho3x1xr,c401d343-3885-4a67-a28d-8baa7180f745,an adventure in the jungle,4.0,4.0,4.0,9.0,7.0,7.0,50,5.0,5.0,1.0,2.0,4.0,1.0,1.0,75,4.0,5.0,70,human_5AI,1.0
ogbw9gyw,cdfdbcd2-e24f-4833-b950-18330c544d55,an adventure on the open seas,2.0,2.0,2.0,4.0,1.0,3.0,50,1.0,1.0,8.0,1.0,2.0,8.0,1.0,85,4.0,8.0,100,human_5AI,1.0
mv6niqwn,3e150849-a7a9-4c64-be45-0134d9afd6fa,an adventure on a different planet,6.0,5.0,5.0,7.0,9.0,6.0,50,7.0,7.0,2.0,6.0,9.0,7.0,1.0,75,4.0,6.0,60,human_1AI,1.0
3dbyk62z,d58324db-aafc-4c56-8550-aa80d92b6fc8,an adventure in the jungle,7.0,7.0,3.0,7.0,1.0,3.0,50,1.0,1.0,4.0,1.0,3.0,7.0,2.0,5,8.0,8.0,98,human_5AI,0.0
x34552z9,d85227b3-1de2-4df3-acec-18891baf76cd,an adventure in the jungle,5.0,5.0,4.0,6.0,4.0,3.0,50,4.0,3.0,7.0,2.0,3.0,5.0,0.0,75,3.0,2.0,0,human,0.0
yxrbebwq,f7886106-14d7-4b51-bf73-7d011654222f,an adventure on the open seas,2.0,2.0,2.0,3.0,4.0,2.0,50,3.0,4.0,7.0,1.0,1.0,1.0,1.0,91,5.0,4.0,25,human_5AI,1.0
eophih8t,9d532481-e080-4043-b0f8-16829df777e8,an adventure in the jungle,3.0,6.0,5.0,8.0,4.0,3.0,50,5.0,4.0,2.0,2.0,4.0,5.0,1.0,6,5.0,4.0,25,human_1AI,1.0
7wg87ome,84184ee1-7a24-4886-aaf7-420b19187f40,an adventure in the jungle,5.0,5.0,3.0,8.0,5.0,5.0,50,7.0,7.0,4.0,1.0,5.0,5.0,0.0,8,7.0,8.0,0,human,0.0
cx23mahm,883982ae-c0f6-4795-9421-aa2768ea16e6,an adventure on a different planet,4.0,5.0,4.0,9.0,9.0,5.0,50,4.0,3.0,6.0,1.0,2.0,4.0,0.0,30,9.0,9.0,0,human_1AI,0.0
fx7i38er,448d41f3-9b57-44f1-9ac9-c3f608e284ff,an adventure on the open seas,3.0,3.0,3.0,8.0,8.0,8.0,50,7.0,6.0,1.0,1.0,7.0,1.0,1.0,0,6.0,5.0,25,human_5AI,1.0
lm29jouh,8a44f295-4adc-4adc-b7bb-dbffb9d5f90c,an adventure on the open seas,7.0,7.0,8.0,8.0,8.0,9.0,50,6.0,7.0,4.0,4.0,7.0,3.0,1.0,53,6.0,3.0,11,human_1AI,1.0
5ovvaoaq,487d8021-b059-428a-aa61-0ad8ca8220a8,an adventure on a different planet,3.0,7.0,6.0,7.0,7.0,7.0,50,6.0,5.0,4.0,2.0,5.0,5.0,2.0,45,5.0,5.0,73,human_1AI,0.0
fq85qgbr,46c14df0-cf51-43e0-aa7f-cb3e70144fdc,an adventure in the jungle,1.0,1.0,1.0,3.0,9.0,2.0,50,2.0,4.0,8.0,1.0,2.0,1.0,1.0,75,3.0,9.0,100,human_1AI,1.0
fabv64v7,749b1a34-8e70-43fa-bb8b-6fdf0d36ff0e,an adventure in the jungle,5.0,5.0,5.0,9.0,7.0,7.0,50,4.0,8.0,4.0,1.0,2.0,5.0,0.0,50,8.0,8.0,0,human_5AI,0.0
55vf7v1q,d9d1d62f-cbfa-473d-884f-e9cda653ce4a,an adventure on the open seas,1.0,1.0,1.0,5.0,1.0,1.0,50,1.0,2.0,9.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0,human_5AI,1.0
7h82mfii,00ee16f1-5185-4b84-9c29-5907cc9d5fc7,an adventure on a different planet,5.0,5.0,4.0,6.0,6.0,5.0,50,7.0,6.0,2.0,5.0,6.0,8.0,1.0,27,3.0,3.0,43,human_5AI,1.0
jyqhpw08,5b7a516e-a054-4a70-a679-25ff3c8b9387,an adventure in the jungle,2.0,2.0,3.0,3.0,3.0,1.0,50,2.0,4.0,7.0,1.0,2.0,6.0,0.0,75,5.0,7.0,0,human,0.0
2bfbja13,d0a5d8c4-a5d8-42e4-9e98-657545cec815,an adventure on the open seas,7.0,8.0,8.0,8.0,9.0,8.0,50,6.0,5.0,7.0,8.0,9.0,3.0,0.0,77,8.0,7.0,0,human,0.0
n4uuvpgu,3b7cb450-be71-43a3-bf3e-c882572369ec,an adventure on the open seas,3.0,2.0,2.0,4.0,6.0,8.0,50,6.0,7.0,7.0,5.0,3.0,2.0,0.0,80,4.0,4.0,0,human,0.0
txc44xyk,6808d151-dca3-4897-8e05-1c8757b1b671,an adventure on a different planet,6.0,7.0,6.0,3.0,2.0,5.0,50,4.0,2.0,3.0,2.0,2.0,7.0,1.0,75,3.0,3.0,25,human_1AI,1.0
43dk7ggs,4e131c0a-d3c7-4c1d-b19b-00eec13972db,an adventure on a different planet,7.0,5.0,5.0,9.0,9.0,9.0,50,9.0,9.0,1.0,1.0,1.0,1.0,1.0,100,5.0,9.0,50,human_5AI,1.0
vxpjyb25,435d391a-704a-433d-9e1f-808d5bdf0efa,an adventure in the jungle,7.0,8.0,8.0,8.0,7.0,8.0,50,2.0,2.0,3.0,8.0,2.0,7.0,0.0,0,2.0,2.0,0,human_1AI,0.0
25ge2ptz,173c7706-0e61-4620-9a0e-3df8bbfa845c,an adventure on the open seas,7.0,4.0,2.0,8.0,6.0,6.0,50,6.0,5.0,5.0,1.0,1.0,3.0,0.0,85,6.0,8.0,0,human,0.0
ef0qyppy,79ce5a91-c618-458f-8cce-9e32e1689cb1,an adventure in the jungle,4.0,4.0,3.0,6.0,6.0,6.0,50,7.0,5.0,4.0,1.0,4.0,3.0,0.0,48,7.0,6.0,0,human,0.0
hd3bqzfr,eed9ba9d-ab2b-4aab-96bc-782243ff1f06,an adventure on a different planet,8.0,9.0,7.0,6.0,8.0,7.0,50,6.0,7.0,1.0,4.0,6.0,5.0,1.0,65,5.0,7.0,80,human_1AI,1.0
ci9ihuay,4c7846f7-f65a-482c-8d57-70c1b2a4a7a0,an adventure on the open seas,5.0,6.0,4.0,7.0,5.0,4.0,50,7.0,6.0,3.0,1.0,1.0,3.0,0.0,20,7.0,9.0,0,human,0.0
vu1xk858,618dc56e-43c8-43b5-9474-219ab21edbfd,an adventure in the jungle,4.0,3.0,3.0,2.0,2.0,2.0,50,4.0,3.0,4.0,2.0,2.0,1.0,2.0,57,5.0,6.0,75,human_1AI,0.0
xpffc1oc,29eba647-475a-48f0-8244-2eee57fbcc0c,an adventure on a different planet,3.0,2.0,2.0,4.0,7.0,6.0,50,5.0,6.0,4.0,1.0,1.0,1.0,2.0,75,6.0,5.0,75,human_1AI,0.0
9ps4ra03,3055442e-4c98-484d-a092-9838823ac08f,an adventure on a different planet,2.0,2.0,2.0,7.0,7.0,5.0,50,3.0,5.0,8.0,1.0,1.0,1.0,0.0,35,9.0,9.0,0,human,0.0
amkhybhm,7542a792-567b-4b17-be59-ea2a797b9ce0,an adventure on a different planet,4.0,4.0,4.0,3.0,3.0,2.0,50,4.0,2.0,6.0,3.0,2.0,2.0,1.0,25,4.0,4.0,47,human_5AI,1.0
zhvkumrz,4e07145a-a82a-43f3-a848-39819e97dd62,an adventure in the jungle,5.0,6.0,7.0,8.0,4.0,4.0,50,6.0,7.0,2.0,1.0,3.0,1.0,1.0,9,7.0,8.0,66,human_1AI,1.0
7b54q8k9,b94fdf1d-bcd3-4526-831f-7f0fc56b86b7,an adventure on the open seas,9.0,9.0,9.0,9.0,9.0,9.0,50,9.0,9.0,1.0,7.0,9.0,7.0,1.0,9,7.0,7.0,18,human_5AI,1.0
1l7d1yuw,0958da06-33d6-4f3b-851b-fa9fddffde82,an adventure on the open seas,5.0,5.0,2.0,6.0,5.0,4.0,50,7.0,3.0,3.0,5.0,6.0,4.0,1.0,99,5.0,3.0,31,human_5AI,1.0
7rqndgt8,fc178c9a-f8b7-4c81-85f6-1e12b56d60bc,an adventure on a different planet,4.0,3.0,3.0,4.0,2.0,2.0,50,4.0,2.0,4.0,2.0,2.0,2.0,0.0,74,3.0,2.0,0,human,0.0
xqijd49s,92aeebce-c4f4-4c12-bcfe-787e838884ea,an adventure on the open seas,2.0,2.0,2.0,8.0,7.0,9.0,50,7.0,7.0,2.0,1.0,1.0,5.0,2.0,49,7.0,2.0,20,human_1AI,0.0
ujcp48xz,02bb7805-ba49-420a-be49-5f52f1d4b79e,an adventure on a different planet,6.0,6.0,7.0,3.0,3.0,3.0,50,5.0,5.0,5.0,6.0,4.0,5.0,1.0,61,3.0,4.0,64,human_1AI,1.0
r369t035,18693e2d-f85c-47f7-be15-b056183f0b66,an adventure in the jungle,4.0,4.0,4.0,7.0,6.0,7.0,50,6.0,5.0,4.0,6.0,6.0,4.0,2.0,52,6.0,4.0,45,human_1AI,0.0
2cdo0y1w,99ef06e6-7930-4121-918d-b64c0dc4e885,an adventure on a different planet,2.0,4.0,9.0,4.0,4.0,2.0,50,4.0,8.0,4.0,3.0,9.0,7.0,1.0,87,1.0,1.0,36,human_1AI,1.0
npwfhvwf,0a8643ac-6490-4c68-8b49-f059f3dea152,an adventure in the jungle,4.0,4.0,3.0,6.0,9.0,9.0,50,3.0,4.0,5.0,3.0,1.0,2.0,0.0,50,5.0,9.0,0,human,0.0
lgxwuwqq,041b6010-3f4a-4658-a428-5ebfdcce67b1,an adventure in the jungle,3.0,3.0,3.0,5.0,5.0,3.0,50,2.0,4.0,7.0,3.0,3.0,4.0,1.0,69,2.0,5.0,100,human_1AI,1.0
wwnfpa3i,8cd2199c-6ae5-432f-a53e-791f137d81af,an adventure on a different planet,7.0,7.0,5.0,8.0,6.0,6.0,50,5.0,4.0,2.0,1.0,2.0,1.0,0.0,34,8.0,9.0,0,human,0.0
3sk9ox8z,f19e74b7-e71a-4427-8cc2-37aa7f5d6071,an adventure in the jungle,3.0,3.0,2.0,7.0,1.0,6.0,50,3.0,2.0,7.0,2.0,1.0,1.0,0.0,18,8.0,9.0,0,human_1AI,0.0
m4cqnxwl,776ba85a-7ec6-40ca-aff0-d2d7627919ec,an adventure in the jungle,7.0,4.0,5.0,5.0,2.0,4.0,50,8.0,5.0,1.0,7.0,9.0,7.0,2.0,25,9.0,9.0,100,human_1AI,0.0
f168j9u9,def36bf5-fb15-4a80-845e-21f8d7f966c9,an adventure on the open seas,7.0,6.0,6.0,8.0,8.0,7.0,50,7.0,8.0,2.0,4.0,3.0,3.0,1.0,27,7.0,8.0,90,human_5AI,1.0
srf3rh5g,8a44f295-4adc-4adc-b7bb-dbffb9d5f90c,an adventure on the open seas,3.0,3.0,3.0,7.0,7.0,7.0,50,8.0,8.0,1.0,1.0,1.0,8.0,1.0,70,6.0,6.0,75,human_1AI,1.0
rsnop8c5,8ec6743a-6ab5-4b6b-9c29-b57830dab1a6,an adventure on a different planet,3.0,3.0,2.0,7.0,5.0,2.0,50,4.0,2.0,7.0,2.0,5.0,1.0,0.0,100,9.0,9.0,0,human,0.0
qm00f4rw,863d7eaf-eb05-4d14-8804-6123d8c04d86,an adventure on a different planet,6.0,6.0,6.0,8.0,8.0,8.0,50,7.0,7.0,4.0,3.0,4.0,6.0,0.0,37,4.0,6.0,0,human,0.0
p95gze3r,a610f7e4-a9a3-428d-8f5c-100f37d872e2,an adventure in the jungle,3.0,3.0,2.0,8.0,9.0,8.0,50,8.0,6.0,1.0,2.0,4.0,7.0,1.0,38,3.0,3.0,50,human_5AI,1.0
qfwodf79,999b17bd-a73b-4459-849b-c8dbd3e6a675,an adventure on a different planet,1.0,2.0,1.0,4.0,6.0,6.0,50,3.0,3.0,6.0,2.0,1.0,2.0,0.0,53,7.0,7.0,0,human,0.0
vwllgztz,36d90373-ec55-4305-996f-5ab6bebec191,an adventure on a different planet,5.0,6.0,4.0,8.0,6.0,5.0,50,7.0,6.0,4.0,3.0,3.0,6.0,1.0,15,6.0,7.0,90,human_5AI,1.0
itjyz3lm,79e28a95-7e95-4bb2-85d2-25325aa5ff88,an adventure in the jungle,4.0,4.0,4.0,6.0,7.0,4.0,50,4.0,4.0,4.0,2.0,5.0,5.0,0.0,75,9.0,9.0,0,human,0.0
egyh8u7m,682e286d-0a42-40d8-9595-4d2fe45ad3f2,an adventure on a different planet,4.0,4.0,3.0,6.0,6.0,6.0,50,5.0,6.0,3.0,4.0,3.0,2.0,1.0,41,5.0,5.0,75,human_1AI,1.0
ouwda0np,f56b29de-e725-4250-bd56-550ee975ec89,an adventure on a different planet,6.0,5.0,3.0,9.0,6.0,7.0,50,6.0,5.0,6.0,1.0,5.0,1.0,2.0,20,6.0,5.0,80,human_5AI,0.0
hajaudn5,d0a5d8c4-a5d8-42e4-9e98-657545cec815,an adventure on the open seas,4.0,9.0,1.0,9.0,7.0,6.0,50,9.0,9.0,1.0,4.0,4.0,7.0,0.0,0,9.0,9.0,0,human,0.0
i98sk12w,c0002a1c-09c6-4939-8524-acc0671b187b,an adventure on the open seas,2.0,4.0,3.0,5.0,3.0,2.0,50,3.0,5.0,4.0,2.0,2.0,2.0,1.0,45,3.0,3.0,50,human_5AI,1.0
l0su5uvh,6de29543-7e86-4aee-b61e-3bbdf75cfacd,an adventure on the open seas,5.0,3.0,3.0,9.0,9.0,7.0,50,4.0,5.0,4.0,1.0,4.0,1.0,0.0,50,7.0,8.0,0,human,0.0
epp33i0v,6808d151-dca3-4897-8e05-1c8757b1b671,an adventure on a different planet,6.0,5.0,5.0,6.0,7.0,6.0,50,6.0,7.0,3.0,7.0,3.0,2.0,1.0,67,6.0,6.0,64,human_1AI,1.0
y547hztq,b1a7866e-3258-419c-89f3-00cc260b53c5,an adventure on a different planet,5.0,6.0,6.0,3.0,1.0,1.0,50,3.0,2.0,3.0,2.0,8.0,4.0,0.0,7,9.0,9.0,0,human_1AI,0.0
